Pt1,Ru1,Co1,Ni1,Cu1,Pt2,Ru2,Co2,Ni2,Cu2,Pt3,Ru3,Co3,Ni3,Cu3,label_ads,E_ads
1,2,1,0,0,3,1,0,0,0,1,0,2,0,0,1,-0.4364237
1,2,1,0,0,2,2,0,0,0,0,1,2,0,0,1,-0.4407937
1,2,1,0,0,2,1,1,0,0,2,0,1,0,0,1,-0.5090737
0,2,1,0,1,0,1,2,0,1,0,0,0,0,3,1,-0.6107237
0,2,1,0,1,0,1,1,0,2,0,0,3,0,0,1,-0.6039337
1,2,0,1,0,1,0,0,3,0,2,0,0,1,0,1,-0.5244337
1,2,0,1,0,1,0,0,3,0,0,2,0,1,0,1,-0.5042037
0,3,1,0,0,0,0,4,0,0,0,1,0,0,2,1,-0.6679037
0,0,0,3,1,0,0,2,1,1,0,0,2,1,0,1,-0.5727837
1,0,0,3,0,1,2,0,1,0,3,0,0,0,0,1,-0.5505137
1,0,1,0,2,1,0,3,0,0,0,0,0,0,3,1,-0.4411937
0,0,2,0,2,4,0,0,0,0,0,0,3,0,0,1,-0.4235437
0,0,0,2,2,0,1,0,0,3,0,1,0,1,1,1,-0.5553537
4,0,0,0,0,2,2,0,0,0,0,1,0,2,0,1,-0.2652337
4,0,0,0,0,0,2,2,0,0,2,1,0,0,0,1,-0.3542737
2,0,1,0,1,0,0,1,0,3,0,0,1,0,2,1,-0.3561837
1,1,2,0,0,1,3,0,0,0,1,2,0,0,0,1,-0.4611337
0,4,0,0,0,0,2,0,2,0,0,0,0,1,2,1,-0.5728837
0,2,0,0,2,0,0,2,0,2,0,0,1,0,2,1,-0.6352037
0,1,1,0,2,0,1,3,0,0,0,1,2,0,0,1,-0.5943437
0,3,1,0,0,0,0,2,0,2,0,0,3,0,0,1,-0.7179337
0,0,2,0,2,0,0,0,0,4,3,0,0,0,0,1,-0.6301537
2,1,0,0,1,0,3,0,0,1,0,2,0,0,1,1,-0.3565137
1,3,0,0,0,0,2,2,0,0,0,0,3,0,0,1,-0.4725137
2,1,0,1,0,2,0,0,2,0,2,0,0,1,0,1,-0.4416437
0,1,0,0,3,2,0,0,0,2,2,0,0,0,1,1,-0.5341537
0,0,3,0,1,3,0,1,0,0,3,0,0,0,0,1,-0.5427637
2,2,0,0,0,0,2,0,2,0,0,3,0,0,0,1,-0.3468037
0,1,0,2,1,0,1,0,3,0,0,1,0,2,0,1,-0.5401637
0,0,0,4,0,0,0,0,4,0,2,0,0,0,1,1,-0.7071137
0,0,3,0,1,0,0,4,0,0,1,0,2,0,0,1,-0.5625837
0,1,0,3,0,0,0,1,3,0,0,0,0,3,0,1,-0.6485337
0,0,0,0,4,1,0,1,0,2,0,0,0,0,3,1,-0.3032837
0,0,0,3,1,0,0,1,3,0,0,0,0,3,0,1,-0.5739437
